id_client,recency,frequency,CA,R_score,F_score,M_score,RFM_score,Segment,CanalAcquisition,Recurrent,profit
C0000,5,16,4523.1153,4,4,4,12,VIP,Email,1,1103.1713000000002
C0001,5,22,6959.438,4,4,4,12,VIP,Instagram Ads,1,1694.4720000000002
C0002,9,23,7309.1561,4,4,4,12,VIP,Google Ads,1,2031.5921000000003
C0003,6,25,8437.1465,4,4,4,12,VIP,Instagram Ads,1,2626.2725
C0004,41,15,4543.5824,2,4,4,10,VIP,Email,1,1276.2064
C0005,7,21,6773.879800000001,4,4,4,12,VIP,Google Ads,1,1859.8818000000003
C0006,16,16,2125.7175,3,4,4,11,VIP,Instagram Ads,1,483.5955
C0007,4,14,2662.1299000000004,4,4,4,12,VIP,Google Ads,1,525.9819000000001
C0008,14,13,2742.0744,3,4,4,11,VIP,Instagram Ads,1,820.0964000000001
C0009,2,13,4683.38,4,4,4,12,VIP,Email,1,1477.1580000000001
C0010,1,16,2896.9272,4,4,4,12,VIP,Google Ads,1,718.7772000000001
C0011,26,9,2204.2026,3,4,4,11,VIP,Google Ads,1,432.25460000000004
C0012,21,19,5058.7638,3,4,4,11,VIP,Email,1,1549.5698000000002
C0013,33,13,2969.3896,3,4,4,11,VIP,Instagram Ads,1,752.6536000000001
C0014,6,13,3426.8622000000005,4,4,4,12,VIP,Google Ads,1,968.0082000000001
C0015,9,10,5861.1318,4,4,4,12,VIP,Email,1,1956.3818
C0016,8,14,5538.9164,4,4,4,12,VIP,Email,1,1586.2324
C0017,19,7,479.823,3,4,2,9,Fidèles,Email,1,34.471
C0018,24,10,2842.8627,3,4,4,11,VIP,Influenceur,1,730.7387000000002
C0019,1,11,1376.9333000000001,4,4,3,11,VIP,Instagram Ads,1,337.7053000000001
C0020,9,9,2132.4241,4,4,4,12,VIP,Instagram Ads,1,491.66810000000004
C0021,16,6,1198.2114,3,4,3,10,VIP,Instagram Ads,1,285.51740000000007
C0022,1,20,6842.168,4,4,4,12,VIP,Google Ads,1,1795.8820000000003
C0023,39,10,1449.8348,2,4,3,9,Fidèles,Influenceur,1,253.85680000000016
C0024,36,11,5956.4871,2,4,4,10,VIP,Influenceur,1,1983.5050999999999
C0025,1,13,2265.7526,4,4,4,12,VIP,Google Ads,1,487.3166
C0026,7,15,2629.2495,4,4,4,12,VIP,Instagram Ads,1,562.7315000000001
C0027,1,20,6536.3858,4,4,4,12,VIP,Influenceur,1,1820.3718
C0028,12,13,4918.5617,4,4,4,12,VIP,Influenceur,1,1539.1236999999999
C0029,5,11,4340.956099999999,4,4,4,12,VIP,Instagram Ads,1,1374.3761
C0030,5,13,3713.7228,4,4,4,12,VIP,Instagram Ads,1,805.1608000000001
C0031,11,15,3730.1164,4,4,4,12,VIP,Instagram Ads,1,971.2883999999999
C0032,15,13,2487.3217,3,4,4,11,VIP,Instagram Ads,1,590.2057000000001
C0033,5,17,6641.0533000000005,4,4,4,12,VIP,Instagram Ads,1,2087.0593000000003
C0034,6,10,1785.8107,4,4,3,11,VIP,Instagram Ads,1,469.0767000000001
C0035,1,11,2865.2545,4,4,4,12,VIP,Instagram Ads,1,839.0565
C0036,22,11,3653.4510999999998,3,4,4,11,VIP,Google Ads,1,980.5130999999999
C0037,8,14,2858.1920999999998,4,4,4,12,VIP,Influenceur,1,753.8001
C0038,5,14,3513.9111,4,4,4,12,VIP,Google Ads,1,1087.9111
C0039,1,16,3016.9673,4,4,4,12,VIP,Google Ads,1,819.0273
C0040,35,16,4988.6982,2,4,4,10,VIP,Google Ads,1,1459.5462000000002
C0041,4,13,3508.7379,4,4,4,12,VIP,Instagram Ads,1,1018.9539
C0042,20,11,1802.4385000000002,3,4,3,10,VIP,Google Ads,1,470.41050000000007
C0043,5,13,3864.3194,4,4,4,12,VIP,Google Ads,1,1139.0394000000001
C0044,9,15,3381.9442000000004,4,4,4,12,VIP,Instagram Ads,1,813.8582000000002
C0045,11,13,4296.4340999999995,4,4,4,12,VIP,Google Ads,1,1316.5701
C0046,38,16,4258.4852,2,4,4,10,VIP,Instagram Ads,1,1139.4491999999998
C0047,5,15,4156.7631,4,4,4,12,VIP,Instagram Ads,1,998.1851000000001
C0048,24,11,2012.0820999999999,3,4,4,11,VIP,Instagram Ads,1,494.87210000000005
C0049,13,12,2141.3314,3,4,4,11,VIP,Instagram Ads,1,454.8114
C0050,4,18,2867.7985999999996,4,4,4,12,VIP,Influenceur,1,625.2265999999998
C0051,17,15,8646.399,3,4,4,11,VIP,Instagram Ads,1,2662.0150000000003
C0052,18,16,3006.565,3,4,4,11,VIP,Google Ads,1,806.9430000000001
C0053,1,17,6617.6381,4,4,4,12,VIP,Email,1,2190.6521000000002
C0054,14,21,8044.115199999999,3,4,4,11,VIP,Google Ads,1,2461.3792000000003
C0055,16,12,2362.6328,3,4,4,11,VIP,Instagram Ads,1,629.0188000000002
C0056,9,17,3947.1452,4,4,4,12,VIP,Email,1,1005.5392000000002
C0057,5,15,3374.0787,4,4,4,12,VIP,Email,1,956.1907
C0058,17,9,2823.0577000000003,3,4,4,11,VIP,Influenceur,1,643.4337
C0059,33,9,4959.1598,3,4,4,11,VIP,Instagram Ads,1,1500.4258000000004
C0060,1,11,3045.7942000000003,4,4,4,12,VIP,Influenceur,1,828.4182000000001
C0061,2,21,4325.2559,4,4,4,12,VIP,Instagram Ads,1,1190.9679
C0062,12,11,5087.7145,4,4,4,12,VIP,Email,1,1617.2545000000002
C0063,3,9,2429.1142,4,4,4,12,VIP,Google Ads,1,659.0142
C0064,23,10,2571.4799000000003,3,4,4,11,VIP,Instagram Ads,1,639.4099000000001
C0065,19,13,3250.262,3,4,4,11,VIP,Influenceur,1,953.9260000000003
C0066,32,12,1076.4402,3,4,3,10,VIP,Instagram Ads,1,177.1542
C0067,11,19,8476.4071,4,4,4,12,VIP,Instagram Ads,1,2547.9111000000003
C0068,33,10,2547.0381999999995,3,4,4,11,VIP,Google Ads,1,644.6401999999998
C0069,6,17,4952.5404,4,4,4,12,VIP,Instagram Ads,1,1419.2664
C0070,6,17,2751.9487999999997,4,4,4,12,VIP,Influenceur,1,697.9207999999998
C0071,3,14,3101.966,4,4,4,12,VIP,Google Ads,1,789.3499999999999
C0072,3,17,2950.969,4,4,4,12,VIP,Instagram Ads,1,684.791
C0073,6,20,4683.5417,4,4,4,12,VIP,Instagram Ads,1,1201.8497
C0074,19,11,2448.6747,3,4,4,11,VIP,Google Ads,1,708.9827000000001
C0075,3,15,6018.6012,4,4,4,12,VIP,Instagram Ads,1,1727.3792
C0076,2,17,4270.8351999999995,4,4,4,12,VIP,Influenceur,1,1105.1192
C0077,3,17,5969.212799999999,4,4,4,12,VIP,Google Ads,1,1688.6008
C0078,5,13,2088.5444,4,4,4,12,VIP,Instagram Ads,1,562.7404000000001
C0079,41,15,3495.7877,2,4,4,10,VIP,Instagram Ads,1,761.5957
C0080,4,15,3835.7312,4,4,4,12,VIP,Instagram Ads,1,942.2472000000002
C0081,8,16,5663.597,4,4,4,12,VIP,Instagram Ads,1,1780.685
C0082,2,22,7276.9733,4,4,4,12,VIP,Google Ads,1,2226.7772999999997
C0083,15,11,2668.6810000000005,3,4,4,11,VIP,Influenceur,1,773.9410000000001
